id,surface,file,line,component,element,label,disabled,handler,coverage
"UI062","desktop","src/renderer/src/App.tsx","1901","SettingsDialog","button","{identityBusy ? <InlineLoader label=""Saving identity"" /> : <FloppyDisk size={14} />} Save identity","{conversation.status === ""running"" || identityBusy || !sessionTitle.trim() || (sessionTitle.trim() === conversation.title && sessionInstructions.trim() === conversation.instructions)}","onClick: {() => void saveSessionIdentity()}","Source control site; consult the journey register and release verification scope"
"UI063","desktop","src/renderer/src/App.tsx","1904","SettingsDialog","button","","","onClick: {() => void perform(""Opening folder picker…"", () => window.grokky.chooseWorkingDirectory(conversation.id))}","Source control site; consult the journey register and release verification scope"
"UI064","desktop","src/renderer/src/App.tsx","1912","SettingsDialog","SelectMenu","""Application appearance""","","onChange: {(theme) => void patchSettings({ theme })}","Source control site; consult the journey register and release verification scope"
"UI065","desktop","src/renderer/src/App.tsx","1914","SettingsDialog","SignalPalette","{conversation.provider === ""codex"" || activeRemoteCommandDevice ? ( <div className={`settings-row ${conversation.sandboxMode === ""read-only"" ? ""disabled"" : """"}`}> <span className=""settings-copy""><strong>Development commands</strong><small>{","","onChange: {(accentPalette) => void patchSettings({ accentPalette })}","Source control site; consult the journey register and release verification scope"
"UI066","desktop","src/renderer/src/App.tsx","1917","SettingsDialog","SelectMenu","""Workspace permission""","{conversation.status === ""running""}","onChange: {(sandboxMode) => void patchConversation({ sandboxMode })}","Source control site; consult the journey register and release verification scope"
"UI067","desktop","src/renderer/src/App.tsx","1922","SettingsDialog","Switch","""Development commands""","{conversation.sandboxMode === ""read-only"" || conversation.status === ""running""}","onChange: {(checked) => void patchConversation({ allowCommands: checked })}","Source control site; consult the journey register and release verification scope"
"UI068","desktop","src/renderer/src/App.tsx","1930","SettingsDialog","Switch","""Live web search""","{conversation.status === ""running""}","onChange: {(checked) => void patchSettings({ webSearchEnabled: checked })}","Source control site; consult the journey register and release verification scope"
"UI069","desktop","src/renderer/src/App.tsx","1935","SettingsDialog","Switch","""Structured views""","","onChange: {(checked) => void patchSettings({ generatedArtifactsEnabled: checked })}","Source control site; consult the journey register and release verification scope"
"UI070","desktop","src/renderer/src/App.tsx","1939","SettingsDialog","button","","","onClick: {() => void perform(""Opening credential picker…"", () => window.grokky.chooseOpenRouterCredential())}","Source control site; consult the journey register and release verification scope"
"UI071","desktop","src/renderer/src/App.tsx","1964","SettingsDialog","Switch","""Computer access""","","onChange: {(enabled) => void computerAction(""enabled"", () => window.grokky.setComputerAccessEnabled(enabled))}","Source control site; consult the journey register and release verification scope"
"UI072","desktop","src/renderer/src/App.tsx","1968","SettingsDialog","button","Pair","","onClick: {() => setPairOpen((open) => !open)}","Source control site; consult the journey register and release verification scope"
"UI073","desktop","src/renderer/src/App.tsx","1972","SettingsDialog","button","{snapshot.computerAccess.activeDeviceId === device.id && <ShieldCheck size={17} weight=""fill"" />}","{device.status !== ""online"" || computerBusy === device.id}","onClick: {() => void computerAction(device.id, () => window.grokky.selectComputer(device.id))}","Source control site; consult the journey register and release verification scope"
"UI074","desktop","src/renderer/src/App.tsx","1983","SettingsDialog","button","{`Revoke and forget ${device.name}`}","","onClick: {() => setConfirmDevice({ id: device.id, name: device.name })}","Source control site; consult the journey register and release verification scope"
"UI075","desktop","src/renderer/src/App.tsx","1990","SettingsDialog","input","""https://runner.example.com:4747""","","onChange: {(event) => setRunnerEndpoint(event.target.value)}","Source control site; consult the journey register and release verification scope"
"UI076","desktop","src/renderer/src/App.tsx","1991","SettingsDialog","input","""000000 or gsk_…""","","onChange: {(event) => setPairingCode(event.target.value.replace(/\s/g, """").slice(0, 184))}","Source control site; consult the journey register and release verification scope"
"UI077","desktop","src/renderer/src/App.tsx","1992","SettingsDialog","button","Cancel","","onClick: {() => setPairOpen(false)}","Source control site; consult the journey register and release verification scope"
"UI078","desktop","src/renderer/src/App.tsx","1992","SettingsDialog","button","{computerBusy === ""pair"" ? <InlineLoader label=""Pairing computer"" /> : <ShieldCheck size={14} />} Pair securely","{computerBusy === ""pair"" || !pairingSecretValid || !runnerEndpoint.trim()}","onClick: {() => void pairRunner()}","Source control site; consult the journey register and release verification scope"
"UI079","desktop","src/renderer/src/App.tsx","1997","SettingsDialog","Switch","""Spread OpenRouter crew across computers""","{conversation.provider === ""codex""}","onChange: {(checked) => void patchSettings({ spreadAgentComputers: checked })}","Source control site; consult the journey register and release verification scope"
"UI080","desktop","src/renderer/src/App.tsx","2009","SettingsDialog","button","System access","{computerBusy === `permission:${capability.id}`}","onClick: {() => void computerAction(`permission:${capability.id}`, () => window.grokky.requestComputerPermission(capability.id))}","Source control site; consult the journey register and release verification scope"
"UI081","desktop","src/renderer/src/App.tsx","2011","SettingsDialog","button","{computerBusy === `test:${capability.id}` ? <InlineLoader label={`Testing ${capability.label}`} quiet /> : ""Test""}","{!snapshot.computerAccess.enabled || !capability.available || capability.level === ""blocked"" || Boolean(computerBusy)}","onClick: {() => void computerAction(`test:${capability.id}`, () => window.grokky.testComputerCapability(capability.id))}","Source control site; consult the journey register and release verification scope"
"UI082","desktop","src/renderer/src/App.tsx","2012","SettingsDialog","SelectMenu","{`${capability.label} access`}","{!snapshot.computerAccess.enabled || !capability.available || Boolean(computerBusy)}","onChange: {(level) => void computerAction(`level:${capability.id}`, () => window.grokky.setComputerCapability(capability.id, level))}","Source control site; consult the journey register and release verification scope"
"UI083","desktop","src/renderer/src/App.tsx","2019","SettingsDialog","button","{computerBusy === ""network"" ? <InlineLoader label=""Saving domains"" quiet /> : <FloppyDisk size={13} />} Save","{computerBusy === ""network""}","onClick: {() => void computerAction(""network"", () => window.grokky.updateComputerNetworkAllowlist(networkDomains.split(/\n|,/).map((domain) => domain.trim()).filter(Boolean)))}","Source control site; consult the journey register and release verification scope"
"UI084","desktop","src/renderer/src/App.tsx","2020","SettingsDialog","textarea","""Always-allowed browser domains""","","onChange: {(event) => setNetworkDomains(event.target.value)}","Source control site; consult the journey register and release verification scope"
"UI085","desktop","src/renderer/src/App.tsx","2043","SettingsDialog","input","""Search skills""","","onChange: {(event) => setSearch(event.target.value)}","Source control site; consult the journey register and release verification scope"
"UI086","desktop","src/renderer/src/App.tsx","2050","SettingsDialog","Switch","{`${skill.name} skill`}","{busy === skill.id}","onChange: {(enabled) => void toggleCapability(skill.id, () => window.grokky.setSkillEnabled(skill.path, enabled))}","Source control site; consult the journey register and release verification scope"
"UI087","desktop","src/renderer/src/App.tsx","2064","SettingsDialog","button","Agents","","onClick: {() => setDiscard(() => () => { setAgentDraft(null); setEditingAgentId(null); })}","Source control site; consult the journey register and release verification scope"
"UI088","desktop","src/renderer/src/App.tsx","2073","SettingsDialog","button","{icon.label}","","onClick: {() => setAgentDraft({ ...agentDraft, icon: icon.id })}","Source control site; consult the journey register and release verification scope"
"UI089","desktop","src/renderer/src/App.tsx","2079","SettingsDialog","input","""qa_scout""","","onChange: {(event) => setAgentDraft({ ...agentDraft, name: event.target.value })}","Source control site; consult the journey register and release verification scope"
"UI090","desktop","src/renderer/src/App.tsx","2080","SettingsDialog","input","""When should Grokky choose this agent?""","","onChange: {(event) => setAgentDraft({ ...agentDraft, description: event.target.value })}","Source control site; consult the journey register and release verification scope"
"UI091","desktop","src/renderer/src/App.tsx","2081","SettingsDialog","textarea","""Describe the role, method, constraints, and expected result.""","","onChange: {(event) => setAgentDraft({ ...agentDraft, developerInstructions: event.target.value })}","Source control site; consult the journey register and release verification scope"
"UI092","desktop","src/renderer/src/App.tsx","2083","SettingsDialog","SelectMenu","""Agent scope""","{Boolean(editingAgentId)}","onChange: {(scope) => setAgentDraft({ ...agentDraft, scope })}","Source control site; consult the journey register and release verification scope"
"UI093","desktop","src/renderer/src/App.tsx","2084","SettingsDialog","SelectMenu","""Agent model""","","onChange: {(model) => setAgentDraft({ ...agentDraft, model: model || undefined })}","Source control site; consult the journey register and release verification scope"
"UI094","desktop","src/renderer/src/App.tsx","2085","SettingsDialog","SelectMenu","""Agent reasoning""","","onChange: {(reasoning) => setAgentDraft({ ...agentDraft, reasoning: reasoning || undefined })}","Source control site; consult the journey register and release verification scope"
"UI095","desktop","src/renderer/src/App.tsx","2086","SettingsDialog","SelectMenu","""Agent workspace permission""","","onChange: {(sandboxMode) => setAgentDraft({ ...agentDraft, sandboxMode: sandboxMode || undefined })}","Source control site; consult the journey register and release verification scope"
"UI096","desktop","src/renderer/src/App.tsx","2090","SettingsDialog","button","Delete","{agentBusy}","onClick: {() => setConfirmAgentDelete(true)}","Source control site; consult the journey register and release verification scope"
"UI097","desktop","src/renderer/src/App.tsx","2092","SettingsDialog","button","Cancel","{agentBusy}","onClick: {() => setDiscard(() => () => { setAgentDraft(null); setEditingAgentId(null); })}","Source control site; consult the journey register and release verification scope"
"UI098","desktop","src/renderer/src/App.tsx","2093","SettingsDialog","button","{agentBusy ? <InlineLoader label=""Saving agent"" /> : <FloppyDisk size={14} />} Save agent","{agentBusy || !agentDraft.name.trim() || !agentDraft.description.trim() || !agentDraft.developerInstructions.trim()}","onClick: {() => void saveAgent()}","Source control site; consult the journey register and release verification scope"
"UI099","desktop","src/renderer/src/App.tsx","2098","SettingsDialog","button","New agent","","onClick: {() => beginAgentDraft({ name: """", description: """", developerInstructions: """", scope: ""personal"", icon: ""lime"" })}","Source control site; consult the journey register and release verification scope"
"UI100","desktop","src/renderer/src/App.tsx","2099","SettingsDialog","summary","Agent defaults and limits","","","Source control site; consult the journey register and release verification scope"
"UI101","desktop","src/renderer/src/App.tsx","2102","SettingsDialog","Switch","""Multi-agent orchestration""","","onChange: {(checked) => void patchSettings({ multiAgentEnabled: checked })}","Source control site; consult the journey register and release verification scope"
"UI102","desktop","src/renderer/src/App.tsx","2106","SettingsDialog","SelectMenu","""Maximum parallel workers""","{!snapshot.settings.multiAgentEnabled}","onChange: {(maxAgentThreads) => void patchSettings({ maxAgentThreads })}","Source control site; consult the journey register and release verification scope"
"UI103","desktop","src/renderer/src/App.tsx","2109","SettingsDialog","SelectMenu","""Default subagent model""","{!snapshot.settings.multiAgentEnabled}","onChange: {(defaultSubagentModel) => void patchSettings({ defaultSubagentModel })}","Source control site; consult the journey register and release verification scope"
"UI104","desktop","src/renderer/src/App.tsx","2110","SettingsDialog","SelectMenu","""Default subagent reasoning""","{!snapshot.settings.multiAgentEnabled}","onChange: {(defaultSubagentReasoning) => void patchSettings({ defaultSubagentReasoning })}","Source control site; consult the journey register and release verification scope"
